Age,BusinessTravel,DailyRate_capped,DailyRate_z,Department,DistanceFromHome,Education,EducationField,Gender,HourlyRate_capped,HourlyRate_z,JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyIncome_capped,MonthlyIncome_z,MonthlyRate_capped,MonthlyRate_z,NumCompaniesWorked_capped,NumCompaniesWorked_z,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears_capped,TotalWorkingYears_z,TrainingTimesLastYear,WorkLifeBalance,SatisfactionIndex,YearsAtCompany_capped,YearsAtCompany_z,TenureRatio,YearsInCurrentRole_capped,YearsInCurrentRole_z,YearsSinceLastPromotion_capped,YearsSinceLastPromotion_z,YearsWithCurrManager_capped,YearsWithCurrManager_z
34,Travel_Rarely,419,-0.9503768330633089,Research & Development,7,4,Life Sciences,Female,53,-0.6341131147526785,3,3,Research Director,Single,11994,1.1663379594330838,21293,0.9806274810389534,0.0,-1.078137537747532,No,11,3,0,13.0,0.22110993918872554,4,3,2.25,12,0.8147908661356622,0.9230769230769231,6.0,0.48873346022294933,2.0,-0.058265062621700905,11.0,1.9273005616164665
34,Travel_Rarely,699,-0.256464352734247,Research & Development,6,1,Medical,Male,83,0.8415802027249334,3,1,Research Scientist,Single,2960,-0.7525411671615053,17102,0.3918207967647106,2.0,-0.27749991186380857,No,11,3,0,8.0,-0.42149901822042835,2,3,2.25,4,-0.4910064335601377,0.5,2.0,-0.6152821934957711,1.0,-0.3685898527395261,3.0,-0.31476636939512276
53,Travel_Rarely,1282,1.1883605616651927,Research & Development,5,3,Other,Female,58,-0.38816422850640986,3,5,Manager,Divorced,16581,2.140645968475521,10735,-0.5026989261591986,4.0,0.5231377140199149,No,11,3,1,26.0,1.8918932284525256,3,2,3.0,14,1.1412401910596122,0.5384615384615384,13.0,2.42076085423071,4.0,0.5623845176139496,8.0,1.0865254624871206
32,Travel_Frequently,1125,0.7992739209092543,Research & Development,16,1,Life Sciences,Female,72,0.30049265298314237,1,1,Research Scientist,Single,3919,-0.5488434604530472,4681,-1.3532443011523423,1.0,-0.6778187248056703,Yes,22,4,0,10.0,-0.16445543525676679,5,3,2.0,10,0.48834154121171225,1.0,2.0,-0.6152821934957711,6.0,1.1830340978496,7.0,0.8062670961106719
42,Travel_Rarely,691,-0.27629042360079165,Sales,8,4,Marketing,Male,48,-0.8800620009989472,3,2,Sales Executive,Married,6825,0.06840944433817217,21173,0.9637683061134202,0.0,-1.078137537747532,No,11,3,1,10.0,-0.16445543525676679,2,3,3.0,9,0.32511687874973727,0.9,7.0,0.7647373736526294,4.0,0.5623845176139496,2.0,-0.5950247357715714
46,Travel_Rarely,705,-0.24159479958433855,Sales,2,4,Marketing,Female,83,0.8415802027249334,3,5,Manager,Single,16581,2.140645968475521,22822,1.1954414682151207,3.0,0.12281890107805317,No,12,3,0,22.0,1.3778060625252024,2,2,2.25,2,-0.8174557584840876,0.09090909090909091,2.0,-0.6152821934957711,2.0,-0.058265062621700905,1.0,-0.8752831021480201
33,Travel_Rarely,924,0.3011438903873206,Research & Development,2,3,Medical,Male,78,0.5956313164786647,3,1,Laboratory Technician,Single,2496,-0.8510977218150242,6670,-1.0738034767616316,4.0,0.5231377140199149,No,11,3,0,7.0,-0.5500208097022591,3,3,3.5,1,-0.9806804209460626,0.14285714285714285,1.0,-0.8912861069254512,0.0,-0.6789146428573514,0.0,-1.1555414685244687
30,Travel_Rarely,125,-1.678984937408824,Research & Development,9,2,Medical,Male,83,0.8415802027249334,2,1,Laboratory Technician,Single,2206,-0.9126955684734734,16117,0.25343506925095993,1.0,-0.6778187248056703,No,13,3,0,10.0,-0.16445543525676679,5,3,2.75,10,0.48834154121171225,1.0,0.0,-1.1672900203551313,1.0,-0.3685898527395261,8.0,1.0865254624871206
39,Travel_Rarely,895,0.2292743834960963,Sales,5,3,Technical Degree,Male,56,-0.4865437830049173,3,2,Sales Representative,Married,2086,-0.9381843326080043,3335,-1.5423480465670718,3.0,0.12281890107805317,No,14,3,1,19.0,0.9922406880797102,6,4,3.75,1,-0.9806804209460626,0.05263157894736842,0.0,-1.1672900203551313,0.0,-0.6789146428573514,0.0,-1.1555414685244687
24,Travel_Rarely,813,0.02605715711401389,Research & Development,1,3,Medical,Male,61,-0.24059489675864865,3,1,Research Scientist,Married,2293,-0.8942162144759387,3020,-1.586603380746596,2.0,-0.27749991186380857,Yes,16,3,1,6.0,-0.6785426011840899,2,2,2.25,2,-0.8174557584840876,0.3333333333333333,0.0,-1.1672900203551313,2.0,-0.058265062621700905,0.0,-1.1555414685244687
43,Travel_Rarely,1273,1.1660562319403298,Research & Development,2,2,Medical,Female,72,0.30049265298314237,4,1,Research Scientist,Divorced,2645,-0.8194491730146486,21923,1.069138149398002,1.0,-0.6778187248056703,No,12,3,2,6.0,-0.6785426011840899,3,2,3.25,5,-0.32778177109816264,0.8333333333333334,3.0,-0.339278280066091,1.0,-0.3685898527395261,4.0,-0.03450800301867408
50,Travel_Rarely,869,0.16483965317982627,Sales,3,2,Marketing,Male,86,0.9891495344726946,2,1,Sales Representative,Married,2683,-0.8113777310387138,3810,-1.4756138124868365,1.0,-0.6778187248056703,Yes,14,3,0,3.0,-1.0641079756295821,2,3,2.5,3,-0.6542310960221126,1.0,2.0,-0.6152821934957711,0.0,-0.6789146428573514,2.0,-0.5950247357715714
35,Travel_Rarely,464,-0.8388551844389954,Research & Development,4,2,Other,Male,75,0.4480619847309036,3,1,Laboratory Technician,Divorced,1951,-0.9668591922593514,10910,-0.4781126293927962,1.0,-0.6778187248056703,No,12,3,1,1.0,-1.3211515585932438,3,3,3.25,1,-0.9806804209460626,1.0,0.0,-1.1672900203551313,0.0,-0.6789146428573514,0.0,-1.1555414685244687
26,Travel_Rarely,1357,1.3742299760390484,Research & Development,25,3,Life Sciences,Male,48,-0.8800620009989472,1,1,Laboratory Technician,Single,2293,-0.8942162144759387,10558,-0.5275662091743599,1.0,-0.6778187248056703,No,12,3,0,1.0,-1.3211515585932438,2,2,2.25,1,-0.9806804209460626,1.0,0.0,-1.1672900203551313,0.0,-0.6789146428573514,1.0,-0.8752831021480201
27,Travel_Frequently,994,0.474622010469586,Sales,8,3,Life Sciences,Male,37,-1.4211495507407381,3,3,Sales Executive,Single,8726,0.4721939495026966,2975,-1.592925571343671,1.0,-0.6778187248056703,No,15,3,0,9.0,-0.29297722673859755,0,3,3.5,9,0.32511687874973727,1.0,8.0,1.0407412870823096,1.0,-0.3685898527395261,7.0,0.8062670961106719
34,Non-Travel,1065,0.6505783894101695,Sales,23,4,Marketing,Male,72,0.30049265298314237,3,2,Sales Executive,Single,4568,-0.41099172775879345,10034,-0.6011846063491877,0.0,-1.078137537747532,No,20,4,0,10.0,-0.16445543525676679,2,3,2.75,9,0.32511687874973727,0.9,5.0,0.21272954679326922,7.5,1.6485212830263376,7.0,0.8062670961106719
37,Travel_Rarely,408,-0.9776376805048078,Research & Development,19,2,Life Sciences,Male,73,0.3496824302323961,3,1,Research Scientist,Married,3022,-0.7393719723586645,10227,-0.5740694333439553,4.0,0.5231377140199149,No,21,4,0,8.0,-0.42149901822042835,1,3,2.0,1,-0.9806804209460626,0.125,0.0,-1.1672900203551313,0.0,-0.6789146428573514,0.0,-1.1555414685244687
46,Travel_Frequently,1211,1.012404182724609,Sales,5,4,Marketing,Male,98,1.5794268614637395,3,2,Sales Executive,Single,5772,-0.15525446094233505,20445,0.8614893115651863,4.0,0.5231377140199149,Yes,21,4,0,14.0,0.3496317306705563,4,3,2.75,9,0.32511687874973727,0.6428571428571429,6.0,0.48873346022294933,0.0,-0.6789146428573514,8.0,1.0865254624871206
48,Travel_Rarely,626,-0.4373772493914667,Research & Development,1,2,Life Sciences,Male,98,1.5794268614637395,2,3,Laboratory Technician,Single,5381,-0.2383053507473477,19294,0.6997817254044482,8.5,2.324572372258293,Yes,13,3,0,23.0,1.5063278540070333,2,3,2.75,1,-0.9806804209460626,0.043478260869565216,0.0,-1.1672900203551313,0.0,-0.6789146428573514,0.0,-1.1555414685244687
28,Travel_Rarely,1434,1.5650559081295405,Research & Development,5,4,Technical Degree,Male,50,-0.7816824465004397,3,1,Laboratory Technician,Single,3441,-0.6503737042555946,11179,-0.4403199789347262,1.0,-0.6778187248056703,Yes,13,3,0,2.0,-1.192629767111413,3,2,2.75,2,-0.8174557584840876,1.0,2.0,-0.6152821934957711,2.0,-0.058265062621700905,2.0,-0.5950247357715714
26,Travel_Rarely,1443,1.5873602378544032,Sales,23,3,Marketing,Female,47,-0.9292517782482008,2,2,Sales Executive,Married,4157,-0.4982907449195612,21436,1.0007179978252136,7.0,1.7240941528455003,Yes,19,3,1,5.0,-0.8070643926659207,2,2,3.0,2,-0.8174557584840876,0.4,2.0,-0.6152821934957711,0.0,-0.6789146428573514,0.0,-1.1555414685244687
33,Travel_Frequently,515,-0.7124639826647734,Research & Development,1,2,Life Sciences,Female,98,1.5794268614637395,3,3,Research Director,Single,13458,1.4773008818743587,15146,0.11701624547852145,1.0,-0.6778187248056703,Yes,12,3,0,15.0,0.4781535221523871,1,3,2.75,15,1.3044648535215873,1.0,14.0,2.6967647676603903,7.5,1.6485212830263376,12.0,2.207558927992915
35,Travel_Frequently,853,0.125187511446737,Sales,18,5,Life Sciences,Male,71,0.25130287573388865,3,3,Sales Executive,Married,9069,0.545049333653897,11031,-0.46111296134288365,1.0,-0.6778187248056703,No,22,4,1,9.0,-0.29297722673859755,3,2,2.25,9,0.32511687874973727,1.0,8.0,1.0407412870823096,1.0,-0.3685898527395261,8.0,1.0865254624871206
37,Travel_Rarely,1115,0.7744913323260735,Research & Development,1,4,Life Sciences,Male,51,-0.732492669251186,2,2,Manufacturing Director,Divorced,5993,-0.10831265366124095,2689,-1.6331066049161915,1.0,-0.6778187248056703,No,18,3,1,7.0,-0.5500208097022591,2,4,2.75,7,-0.0013324461742127045,1.0,5.0,0.21272954679326922,0.0,-0.6789146428573514,7.0,0.8062670961106719
32,Travel_Rarely,427,-0.9305507621967642,Research & Development,1,3,Medical,Male,33,-1.617908659737753,3,2,Manufacturing Director,Married,6162,-0.07241597750511015,10877,-0.4827489024973178,1.0,-0.6778187248056703,Yes,22,4,1,9.0,-0.29297722673859755,3,3,2.5,9,0.32511687874973727,1.0,8.0,1.0407412870823096,7.0,1.493358887967425,8.0,1.0865254624871206
50,Travel_Rarely,989,0.46223071617799566,Research & Development,7,2,Medical,Female,43,-1.1260108872452157,2,5,Research Director,Divorced,16581,2.140645968475521,16701,0.33548305388855426,5.0,0.9234565269617766,Yes,12,3,1,28.5,2.2131977071571027,2,2,2.75,18,1.794138840907512,0.9310344827586207,3.0,-0.339278280066091,7.5,1.6485212830263376,8.0,1.0865254624871206
59,Travel_Rarely,1435,1.5675341669878586,Sales,25,3,Life Sciences,Female,99,1.628616638712993,3,3,Sales Executive,Single,7637,0.24088341498183016,2354,-1.6801718015833047,7.0,1.7240941528455003,No,11,3,0,28.0,2.1489368114161875,3,2,2.0,18,1.794138840907512,0.75,14.5,2.8347667243752306,7.0,1.493358887967425,9.0,1.3667838288635692
36,Travel_Rarely,1223,1.042143289024426,Research & Development,8,3,Technical Degree,Female,59,-0.3389744512571561,3,3,Healthcare Representative,Divorced,10096,0.7631906733719226,8202,-0.858568010212326,1.0,-0.6778187248056703,No,13,3,3,17.0,0.7351971051160486,2,3,2.75,17,1.6309141784455372,1.0,14.0,2.6967647676603903,7.5,1.6485212830263376,8.0,1.0865254624871206
55,Travel_Rarely,836,0.08305711085532969,Research & Development,8,3,Medical,Female,33,-1.617908659737753,3,4,Manager,Divorced,14756,1.753004347262866,19730,0.761036727633885,2.0,-0.27749991186380857,Yes,14,3,3,21.0,1.2492842710433718,2,3,3.25,5,-0.32778177109816264,0.23809523809523808,0.0,-1.1672900203551313,0.0,-0.6789146428573514,2.0,-0.5950247357715714
36,Travel_Frequently,1195,0.9727520409915198,Research & Development,11,3,Life Sciences,Male,95,1.4318575297159781,2,2,Manufacturing Director,Single,6499,-8.350315606363283E-4,22656,1.1721196095681332,1.0,-0.6778187248056703,No,13,3,0,6.0,-0.6785426011840899,3,3,2.5,6,-0.1645571086361877,1.0,5.0,0.21272954679326922,0.0,-0.6789146428573514,3.0,-0.31476636939512276
45,Travel_Rarely,1339,1.329621316589323,Research & Development,7,3,Life Sciences,Male,59,-0.3389744512571561,3,3,Research Scientist,Divorced,9724,0.6841755045548773,18787,0.628551711344071,2.0,-0.27749991186380857,No,17,3,1,25.0,1.7633714369706948,2,3,2.25,1,-0.9806804209460626,0.04,0.0,-1.1672900203551313,0.0,-0.6789146428573514,0.0,-1.1555414685244687
35,Travel_Frequently,664,-0.34320341277537975,Research & Development,1,3,Medical,Male,79,0.6448210937279185,3,1,Research Scientist,Married,2194,-0.9152444448869266,5868,-1.1864789625139442,4.0,0.5231377140199149,No,13,3,1,5.0,-0.8070643926659207,2,2,2.25,3,-0.6542310960221126,0.6,2.0,-0.6152821934957711,1.0,-0.3685898527395261,2.0,-0.5950247357715714
36,Travel_Rarely,318,-1.2006809777534349,Research & Development,9,3,Medical,Male,79,0.6448210937279185,2,1,Research Scientist,Married,3388,-0.6616312417483458,21777,1.0486261532386034,0.0,-1.078137537747532,Yes,17,3,1,2.0,-1.192629767111413,0,2,2.5,1,-0.9806804209460626,0.5,0.0,-1.1672900203551313,0.0,-0.6789146428573514,0.0,-1.1555414685244687
29,Travel_Rarely,1328,1.302360469147824,Research & Development,2,3,Life Sciences,Male,76,0.4972517619801573,3,1,Research Scientist,Married,2703,-0.8071296036829587,4956,-1.3146086919479958,0.0,-1.078137537747532,No,23,4,1,6.0,-0.6785426011840899,3,3,3.0,5,-0.32778177109816264,0.8333333333333334,4.0,-0.06327436663641088,0.0,-0.6789146428573514,4.0,-0.03450800301867408
31,Travel_Rarely,1082,0.6927087900015769,Research & Development,1,4,Medical,Male,87,1.0383393117219484,3,1,Research Scientist,Single,2501,-0.8500356899760855,18775,0.6268657938515176,1.0,-0.6778187248056703,No,17,3,0,1.0,-1.3211515585932438,4,3,2.5,1,-0.9806804209460626,1.0,1.0,-0.8912861069254512,1.0,-0.3685898527395261,0.0,-1.1555414685244687
32,Travel_Rarely,548,-0.6306814403402768,Research & Development,1,3,Life Sciences,Male,66,0.005353989487620002,3,2,Research Scientist,Married,6220,-0.060096408173420296,7346,-0.9788301246811286,1.0,-0.6778187248056703,No,17,3,2,10.0,-0.16445543525676679,3,3,2.25,10,0.48834154121171225,1.0,4.0,-0.06327436663641088,0.0,-0.6789146428573514,9.0,1.3667838288635692
36,Travel_Rarely,132,-1.6616371254005973,Research & Development,6,3,Life Sciences,Female,55,-0.5357335602541711,4,1,Laboratory Technician,Married,3038,-0.7359734704740604,22002,1.080237106223978,3.0,0.12281890107805317,No,12,3,0,5.0,-0.8070643926659207,3,3,2.75,1,-0.9806804209460626,0.2,0.0,-1.1672900203551313,0.0,-0.6789146428573514,0.0,-1.1555414685244687
31,Travel_Rarely,746,-0.13998618639329735,Research & Development,8,4,Life Sciences,Female,61,-0.24059489675864865,3,2,Manufacturing Director,Single,4424,-0.44157824472023033,20682,0.8947861820431141,1.0,-0.6778187248056703,No,23,4,0,11.0,-0.035933643774936005,2,3,3.5,11,0.6515662036736872,1.0,7.0,0.7647373736526294,1.0,-0.3685898527395261,8.0,1.0865254624871206
35,Travel_Rarely,776,-0.06563842064375501,Sales,1,4,Marketing,Male,32,-1.6670984369870068,2,2,Sales Executive,Single,4312,-0.46536775791245905,23016,1.2226971343447324,0.0,-1.078137537747532,No,14,3,0,16.0,0.6066753136342179,2,3,2.25,15,1.3044648535215873,0.9375,13.0,2.42076085423071,2.0,-0.058265062621700905,8.0,1.0865254624871206
45,Travel_Rarely,193,-1.5104633350431946,Research & Development,6,4,Other,Male,52,-0.6833028920019322,3,3,Research Director,Married,13245,1.4320583255355668,15067,0.1059172886525455,4.0,0.5231377140199149,Yes,14,3,0,17.0,0.7351971051160486,3,4,2.75,0,-1.1439050834080375,0.0,0.0,-1.1672900203551313,0.0,-0.6789146428573514,0.0,-1.1555414685244687
30,Travel_Rarely,852,0.12270925258841894,Research & Development,1,1,Life Sciences,Male,55,-0.5357335602541711,2,2,Laboratory Technician,Married,5126,-0.2924689745332255,15998,0.2367163874498063,1.0,-0.6778187248056703,Yes,12,3,2,10.0,-0.16445543525676679,1,2,3.25,10,0.48834154121171225,1.0,8.0,1.0407412870823096,3.0,0.2520597274961243,0.0,-1.1555414685244687
35,Travel_Rarely,1214,1.0198389592995634,Research & Development,1,3,Medical,Male,30,-1.7654779914855143,2,1,Research Scientist,Single,2859,-0.7739942103080687,26278,1.6809857060704734,1.0,-0.6778187248056703,No,18,3,0,6.0,-0.6785426011840899,3,3,2.25,6,-0.1645571086361877,1.0,4.0,-0.06327436663641088,0.0,-0.6789146428573514,4.0,-0.03450800301867408
55,Travel_Rarely,111,-1.713680561425277,Sales,1,2,Life Sciences,Male,70,0.20211309848463493,3,3,Sales Executive,Married,10239,0.7935647839655717,18092,0.5309089899003585,3.0,0.12281890107805317,No,14,3,1,24.0,1.6348496454888641,4,3,3.0,1,-0.9806804209460626,0.041666666666666664,0.0,-1.1672900203551313,1.0,-0.3685898527395261,0.0,-1.1555414685244687
38,Non-Travel,573,-0.5687249688823249,Research & Development,6,3,Medical,Female,79,0.6448210937279185,1,2,Research Scientist,Divorced,5329,-0.24935048187231101,15717,0.197237819499183,7.0,1.7240941528455003,Yes,12,3,3,17.0,0.7351971051160486,3,3,3.25,13,0.9780155285976372,0.7647058823529411,11.0,1.8687530273713497,1.0,-0.3685898527395261,9.0,1.3667838288635692
34,Travel_Rarely,1153,0.8686651689421605,Research & Development,1,2,Medical,Male,94,1.3826677524667244,3,2,Manufacturing Director,Married,4325,-0.4626064751312182,17736,0.480893437621277,1.0,-0.6778187248056703,No,15,3,0,5.0,-0.8070643926659207,2,3,2.25,5,-0.32778177109816264,1.0,2.0,-0.6152821934957711,1.0,-0.3685898527395261,3.0,-0.31476636939512276
56,Travel_Rarely,1400,1.4807951069467258,Research & Development,7,3,Life Sciences,Male,49,-0.8308722237496934,1,3,Manufacturing Director,Single,7260,0.1608062143258461,21698,1.0375271964126276,4.0,0.5231377140199149,No,11,3,0,28.5,2.2131977071571027,3,2,2.75,6,-0.1645571086361877,0.16216216216216217,4.0,-0.06327436663641088,0.0,-0.6789146428573514,2.0,-0.5950247357715714
23,Travel_Rarely,541,-0.6480292523485034,Sales,2,1,Technical Degree,Male,62,-0.19140511950939493,3,1,Sales Representative,Divorced,2322,-0.8880564298100938,9518,-0.6736790585289799,3.0,0.12281890107805317,No,13,3,1,3.0,-1.0641079756295821,3,3,2.5,0,-1.1439050834080375,0.0,0.0,-1.1672900203551313,0.0,-0.6789146428573514,0.0,-1.1555414685244687
51,Travel_Rarely,432,-0.9181594679051739,Research & Development,9,4,Life Sciences,Male,96,1.481047306965232,3,1,Laboratory Technician,Married,2075,-0.9405208026536696,18725,0.6198411376325454,3.0,0.12281890107805317,No,23,4,2,10.0,-0.16445543525676679,4,3,3.25,4,-0.4910064335601377,0.4,2.0,-0.6152821934957711,0.0,-0.6789146428573514,3.0,-0.31476636939512276
30,Travel_Rarely,288,-1.2750287435029772,Research & Development,2,3,Life Sciences,Male,99,1.628616638712993,2,2,Healthcare Representative,Married,4152,-0.49935277675850004,15830,0.21311354255405998,1.0,-0.6778187248056703,No,19,3,3,11.0,-0.035933643774936005,3,3,2.75,11,0.6515662036736872,1.0,10.0,1.5927491139416698,7.5,1.6485212830263376,8.0,1.0865254624871206
46,Travel_Rarely,669,-0.3308121184837894,Sales,9,2,Medical,Male,64,-0.09302556501088746,2,3,Sales Executive,Single,9619,0.6618728359371628,13596,-0.10074809730961413,1.0,-0.6778187248056703,No,16,3,0,9.0,-0.29297722673859755,3,3,3.5,9,0.32511687874973727,1.0,8.0,1.0407412870823096,4.0,0.5623845176139496,7.0,0.8062670961106719
30,Travel_Rarely,1334,1.3172300222977327,Sales,4,2,Medical,Female,63,-0.14221534226014118,2,2,Sales Executive,Divorced,5209,-0.2748392460068418,19760,0.7652515213652683,1.0,-0.6778187248056703,Yes,12,3,3,11.0,-0.035933643774936005,4,2,2.25,11,0.6515662036736872,1.0,8.0,1.0407412870823096,2.0,-0.058265062621700905,7.0,0.8062670961106719
46,Travel_Frequently,638,-0.4076381430916498,Research & Development,1,3,Medical,Male,40,-1.273580218992977,2,3,Healthcare Representative,Married,10673,0.8857491475854579,3142,-1.5694632195723042,2.0,-0.27749991186380857,Yes,13,3,1,21.0,1.2492842710433718,5,2,2.25,10,0.48834154121171225,0.47619047619047616,9.0,1.3167452005119897,7.5,1.6485212830263376,5.0,0.2457503633577746
32,Travel_Rarely,1093,0.7199696374430757,Sales,6,4,Medical,Male,87,1.0383393117219484,3,2,Sales Executive,Single,5010,-0.31710811319660526,24301,1.4032307991723159,1.0,-0.6778187248056703,No,16,3,0,12.0,0.09258814770689477,0,3,2.25,11,0.6515662036736872,0.9166666666666666,8.0,1.0407412870823096,5.0,0.8727093077317748,7.0,0.8062670961106719
54,Travel_Rarely,1217,1.0272737358745174,Research & Development,2,4,Technical Degree,Female,60,-0.28978467400790237,3,3,Research Director,Married,13549,1.4966298613430444,24001,1.3610828618584832,8.5,2.324572372258293,No,12,3,1,16.0,0.6066753136342179,5,1,1.5,4,-0.4910064335601377,0.25,3.0,-0.339278280066091,0.0,-0.6789146428573514,3.0,-0.31476636939512276
24,Travel_Rarely,1353,1.364316940605776,Sales,3,2,Other,Female,33,-1.617908659737753,3,2,Sales Executive,Married,4999,-0.31944458324227054,17519,0.4504064296309381,0.0,-1.078137537747532,No,21,4,1,4.0,-0.9355861841477514,2,2,1.75,3,-0.6542310960221126,0.75,2.0,-0.6152821934957711,0.0,-0.6789146428573514,2.0,-0.5950247357715714
28,Non-Travel,120,-1.6913762317004144,Sales,4,3,Medical,Male,43,-1.1260108872452157,3,2,Sales Executive,Married,4221,-0.4846967373811448,8863,-0.7657020549975146,1.0,-0.6778187248056703,No,15,3,0,5.0,-0.8070643926659207,3,4,2.75,5,-0.32778177109816264,1.0,4.0,-0.06327436663641088,0.0,-0.6789146428573514,4.0,-0.03450800301867408
58,Travel_Rarely,682,-0.2985947533256544,Sales,10,4,Medical,Male,37,-1.4211495507407381,3,4,Sales Executive,Single,13872,1.5652371181384899,24409,1.4184040566052956,0.0,-1.078137537747532,No,13,3,0,28.5,2.2131977071571027,1,2,3.0,18,1.794138840907512,0.9736842105263158,10.0,1.5927491139416698,1.0,-0.3685898527395261,8.0,1.0865254624871206
